app_name,release_date,genres,id
Lost Summoner Kitty,2018-01-04,Action,761140
Lost Summoner Kitty,2018-01-04,Casual,761140
Lost Summoner Kitty,2018-01-04,Indie,761140
Lost Summoner Kitty,2018-01-04,Simulation,761140
Lost Summoner Kitty,2018-01-04,Strategy,761140
Ironbound,2018-01-04,Free to Play,643980
Ironbound,2018-01-04,Indie,643980
Ironbound,2018-01-04,RPG,643980
Ironbound,2018-01-04,Strategy,643980
Real Pool 3D - Poolians,2017-07-24,Casual,670290
Real Pool 3D - Poolians,2017-07-24,Free to Play,670290
Real Pool 3D - Poolians,2017-07-24,Indie,670290
Real Pool 3D - Poolians,2017-07-24,Simulation,670290
Real Pool 3D - Poolians,2017-07-24,Sports,670290
弹炸人2222,2017-12-07,Action,767400
弹炸人2222,2017-12-07,Adventure,767400
弹炸人2222,2017-12-07,Casual,767400
Battle Royale Trainer,2018-01-04,Action,772540
Battle Royale Trainer,2018-01-04,Adventure,772540
Battle Royale Trainer,2018-01-04,Simulation,772540
SNOW - All Access Pro Pass,2018-01-04,Free to Play,774277
SNOW - All Access Pro Pass,2018-01-04,Indie,774277
SNOW - All Access Pro Pass,2018-01-04,Simulation,774277
SNOW - All Access Pro Pass,2018-01-04,Sports,774277
SNOW - All Access Legend Pass,2018-01-04,Free to Play,774278
SNOW - All Access Legend Pass,2018-01-04,Indie,774278
SNOW - All Access Legend Pass,2018-01-04,Simulation,774278
SNOW - All Access Legend Pass,2018-01-04,Sports,774278
Race,2018-01-04,Casual,768800
Race,2018-01-04,Indie,768800
Race,2018-01-04,Racing,768800
Race,2018-01-04,Simulation,768800
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,Action,770380
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,Adventure,770380
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,Casual,770380
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,Indie,770380
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,RPG,770380
Beach Rules,2018-01-04,Casual,768880
Beach Rules,2018-01-04,Indie,768880
Planetarium 2 - Zen Odyssey,2018-01-03,Casual,765320
Planetarium 2 - Zen Odyssey,2018-01-03,Indie,765320
Planetarium 2 - Zen Odyssey,2018-01-03,Simulation,765320
The first thrust of God,2018-01-03,Adventure,773650
The first thrust of God,2018-01-03,Casual,773650
The first thrust of God,2018-01-03,Indie,773650
The first thrust of God,2018-01-03,Simulation,773650
The first thrust of God,2018-01-03,Strategy,773650
SNOW - Starter Pack,2018-01-03,Free to Play,774271
SNOW - Starter Pack,2018-01-03,Indie,774271
SNOW - Starter Pack,2018-01-03,Simulation,774271
SNOW - Starter Pack,2018-01-03,Sports,774271
The first thrust of God - All Aircrafts,2018-01-03,Adventure,773690
The first thrust of God - All Aircrafts,2018-01-03,Casual,773690
The first thrust of God - All Aircrafts,2018-01-03,Indie,773690
The first thrust of God - All Aircrafts,2018-01-03,Simulation,773690
The first thrust of God - All Aircrafts,2018-01-03,Strategy,773690
SNOW - Lifetime Pack,2018-01-03,Free to Play,774279
SNOW - Lifetime Pack,2018-01-03,Indie,774279
SNOW - Lifetime Pack,2018-01-03,Simulation,774279
SNOW - Lifetime Pack,2018-01-03,Sports,774279
The Warrior Of Treasures,2018-01-03,Action,768060
The Warrior Of Treasures,2018-01-03,Adventure,768060
The Warrior Of Treasures,2018-01-03,Indie,768060
RC Plane 3 - Canyon Scenario,2017-12-22,Racing,775880
RC Plane 3 - Canyon Scenario,2017-12-22,Simulation,775880
RC Plane 3 - Canyon Scenario,2017-12-22,Sports,775880
RC Plane 3 - F-53B,2017-12-23,Racing,775881
RC Plane 3 - F-53B,2017-12-23,Simulation,775881
RC Plane 3 - F-53B,2017-12-23,Sports,775881
DinoBlaster,2018-01-03,Action,653960
DinoBlaster,2018-01-03,Indie,653960
Carmageddon Max Pack,1997-06-30,Action,282010
Carmageddon Max Pack,1997-06-30,Indie,282010
Carmageddon Max Pack,1997-06-30,Racing,282010
Half-Life,1998-11-08,Action,70
Fallen Mage,2016-11-25,Action,752360
Fallen Mage,2016-11-25,Indie,752360
Fallen Mage,2016-11-25,RPG,752360
Lost Cities,2018-01-01,Casual,520680
Lost Cities,2018-01-01,Indie,520680
Lost Cities,2018-01-01,Strategy,520680
Twisted Enhanced Edition,2018-01-01,Action,690410
Vaporwave Simulator,2018-01-01,Casual,766850
Vaporwave Simulator,2018-01-01,Indie,766850
Vaporwave Simulator,2018-01-01,Simulation,766850
Tactics Forever,2018-01-01,Action,413120
Tactics Forever,2018-01-01,Casual,413120
Tactics Forever,2018-01-01,Indie,413120
Tactics Forever,2018-01-01,Massively Multiplayer,413120
Tactics Forever,2018-01-01,Simulation,413120
Tactics Forever,2018-01-01,Sports,413120
Tactics Forever,2018-01-01,Strategy,413120
Christmas Santa Troubles,2017-12-30,Adventure,773120
Christmas Santa Troubles,2017-12-30,Casual,773120
Christmas Santa Troubles,2017-12-30,Indie,773120
Bitcoin Clicker,2018-01-01,Adventure,716110
Bitcoin Clicker,2018-01-01,Casual,716110
Bitcoin Clicker,2018-01-01,Indie,716110
Bitcoin Clicker,2018-01-01,RPG,716110
Disciples II: Gallean's Return,2006-07-06,Strategy,1640
Disciples II: Rise of the Elves,2006-07-06,Strategy,1630
The Ship: Murder Party,2006-07-11,Action,2400
The Ship: Murder Party,2006-07-11,Indie,2400
The Ship: Murder Party,2006-07-11,RPG,2400
Souland,2017-12-29,Action,759920
Souland,2017-12-29,Indie,759920
Souland,2017-12-29,Strategy,759920
Souland,2017-12-29,Early Access,759920
Darkness and a Crowd,2018-03-30,Action,659780
Darkness and a Crowd,2018-03-30,Adventure,659780
Darkness and a Crowd,2018-03-30,Indie,659780
Darkness and a Crowd,2018-03-30,RPG,659780
Darkness and a Crowd,2018-03-30,Strategy,659780
TAROTICA VOO DOO,2017-12-29,Action,603280
TAROTICA VOO DOO,2017-12-29,Adventure,603280
TAROTICA VOO DOO,2017-12-29,Indie,603280
TAROTICA VOO DOO,2017-12-29,RPG,603280
Chronicles of Vinland,2017-12-29,Casual,753110
Chronicles of Vinland,2017-12-29,Strategy,753110
Chronicles of Vinland,2017-12-29,Early Access,753110
Orbitality,2017-12-29,Action,753100
Orbitality,2017-12-29,Indie,753100
Atomic Adam: Episode 1,2017-12-30,Action,764280
Atomic Adam: Episode 1,2017-12-30,Adventure,764280
Atomic Adam: Episode 1,2017-12-30,Casual,764280
Advent Rising,2005-08-09,Action,3800
DEFCON,2006-09-29,Indie,1520
DEFCON,2006-09-29,Strategy,1520
The Ship: Single Player,2006-11-20,Action,2420
The Ship: Single Player,2006-11-20,Indie,2420
The Ship: Single Player,2006-11-20,RPG,2420
Garry's Mod,2006-11-29,Indie,4000
Garry's Mod,2006-11-29,Simulation,4000
RACE - The WTCC Game,2006-11-24,Racing,4230
Zen of Sudoku,2006-12-14,Casual,4900
Zen of Sudoku,2006-12-14,Indie,4900
Gumboy - Crazy Adventures™,2006-12-19,Casual,2520
Gumboy - Crazy Adventures™,2006-12-19,Indie,2520
Ghost Master®,2003-08-23,Strategy,6200
Vegas: Make It Big™,2006-12-21,Strategy,6210
Dreamfall: The Longest Journey,2006-04-17,Adventure,6300
Dreamfall: The Longest Journey,2006-04-17,RPG,6300
FlatOut 2™,2006-08-01,Racing,2990
FlatOut,2005-07-12,Racing,6220
Lost Planet™: Extreme Condition,2007-06-26,Action,6510
Lost Planet™: Extreme Condition,2007-06-26,Adventure,6510
CivCity: Rome,2006-07-24,Strategy,3980
Arx Fatalis,2002-11-12,RPG,1700
The Longest Journey,2000-11-17,Action,6310
The Longest Journey,2000-11-17,Adventure,6310
The Longest Journey,2000-11-17,RPG,6310
Civilization IV®: Warlords,2006-07-24,Strategy,3990
Railroad Tycoon 3,2003-10-23,Strategy,7610
Sid Meier's Railroads!,2006-10-16,Strategy,7600
Railroad Tycoon II Platinum,1998-10-31,Strategy,7620
X-COM: Terror From the Deep,1995-04-01,Strategy,7650
Tomb Raider: Anniversary,2007-06-05,Action,8000
Tomb Raider: Anniversary,2007-06-05,Adventure,8000
Devil May Cry® 3 Special Edition,2006-05-23,Action,6550
Sam & Max 101: Culture Shock,2006-10-17,Action,8200
Sam & Max 101: Culture Shock,2006-10-17,Adventure,8200
Final DOOM,1996-06-17,Action,2290
Sam & Max 102: Situation: Comedy,2006-12-20,Action,8210
Sam & Max 102: Situation: Comedy,2006-12-20,Adventure,8210
Ultimate Doom,1995-04-30,Action,2280
Master Levels for Doom II,1995-06-01,Action,9160
DOOM II,1994-05-05,Action,2300
Wolfenstein 3D,1994-08-03,Action,2270
Return to Castle Wolfenstein,2001-11-20,Action,9010
QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,Action,9040
Spear of Destiny,1993-10-10,Action,9000
BloodRayne,2003-09-09,Action,3810
QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,Action,9030
QUAKE,2007-05-31,Action,2310
Genesis Rising,2007-03-20,Strategy,3230
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,Strategy,9310
BioShock™,2007-08-21,Action,7670
BioShock™,2007-08-21,RPG,7670
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,Strategy,4570
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,Strategy,4580
Rome: Total War™ - Collection,2004-09-22,Strategy,4760
Rome: Total War™ - Alexander,2006-06-26,Strategy,4770
Mystery Case Files: Madame Fate®,2007-12-14,Casual,50970
Grand Theft Auto,1998-06-30,Action,12170
Grand Theft Auto 2,1999-10-25,Action,12180
Manhunt,2004-04-20,Action,12130
Midnight Club 2,2003-07-01,Racing,12160
Max Payne 2: The Fall of Max Payne,2003-10-14,Action,12150
Tomb Raider: Legend,2006-04-07,Action,7000
Tomb Raider: Legend,2006-04-07,Adventure,7000
Max Payne,2001-07-25,Action,12140
Command & Conquer: Red Alert 3,2008-10-28,Strategy,17480
PuzzleQuest: Challenge of the Warlords,2007-10-10,Casual,12500
Culpa Innata,2007-10-23,RPG,12310
Culpa Innata,2007-10-23,Casual,12310
Culpa Innata,2007-10-23,Adventure,12310
Prison Tycoon 3™: Lockdown,2007-08-01,Strategy,12510
Hunting Unlimited™ 2008,2007-09-01,Action,12530
Hunting Unlimited™ 2008,2007-09-01,Adventure,12530
Hunting Unlimited™ 2008,2007-09-01,Strategy,12530
18 Wheels of Steel: American Long Haul,2007-12-03,Racing,12520
Conflict: Denied Ops,2008-02-08,Action,8100
ARMA: Combat Operations,2007-05-08,Action,2780
Desperados 2: Cooper's Revenge,2006-05-02,Action,9710
Death to Spies,2007-10-16,Action,9800
Death to Spies,2007-10-16,Adventure,9800
Act of War: High Treason,2006-05-30,Action,9760
RollerCoaster Tycoon® 3: Platinum,2006-10-26,Simulation,2700
RollerCoaster Tycoon® 3: Platinum,2006-10-26,Strategy,2700
Act of War: Direct Action,2005-03-14,Action,2710
Unreal 2: The Awakening,2003-02-03,Action,13200
Unreal Gold,1998-04-30,Action,13250
Ninja Reflex: Steamworks Edition,2008-03-21,Casual,13000
Ninja Reflex: Steamworks Edition,2008-03-21,Indie,13000
Tom Clancy's Splinter Cell®,2003-02-18,Action,13560
Far Cry®,2004-03-23,Action,13520
Unreal Tournament: Game of the Year Edition,2000-10-25,Action,13240
Tom Clancy's Rainbow Six® Vegas,2006-12-12,Action,13540
Silent Hunter® III,2005-03-15,Simulation,15210
Virtual Villagers - The Secret City,2008-05-28,Casual,16180
Virtual Villagers - The Secret City,2008-05-28,Simulation,16180
Mystery P.I.™ - The Vegas Heist,2008-06-04,Casual,3520
Luxor,2008-06-10,Casual,15970
Reaxxion,2008-06-10,Casual,15950
Little Farm,2008-06-10,Casual,15960
7 Wonders II,2008-06-10,Casual,15900
Luxor Amun Rising,2005-12-08,Casual,15910
Luxor 3,2007-11-13,Casual,15930
Petz® Horsez® 2,2007-11-13,Simulation,15160
Luxor 2,2005-12-08,Casual,15920
Rayman Raving Rabbids™,2007-03-27,Action,15080
Rayman Raving Rabbids™,2007-03-27,Adventure,15080
Silent Hunter®: Wolves of the Pacific,2007-03-20,Simulation,15200
IL-2 Sturmovik: 1946,2006-12-15,Simulation,15320
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,Simulation,15240
Bone: Out From Boneville,2005-09-15,Adventure,8310
Midnight Outlaw: 6 Hours to SunUp,2005-07-02,Racing,12600
Bone: The Great Cow Race,2006-04-12,Adventure,8320
Sprint Cars Road to Knoxville,2008-07-29,Racing,12590
Ride! Carnival Tycoon,2007-07-02,Simulation,12560
Mahjongg Investigations: Under Suspicion,2007-08-08,Casual,12540
Dracula Origin,2008-05-20,Adventure,11050
Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,Sports,10520
Sherlock Holmes - Nemesis,2008-04-14,Adventure,11040
Sherlock Holmes - Nemesis,2008-04-14,RPG,11040
Eternity's Child,2008-07-31,Adventure,19500
Eternity's Child,2008-07-31,Indie,19500
Pacific Storm Allies,2007-05-25,Simulation,11260
Pacific Storm Allies,2007-05-25,Strategy,11260
Tank Universal,2008-08-21,Action,19200
Tank Universal,2008-08-21,Indie,19200
FlatOut: Ultimate Carnage,2008-08-19,Racing,12360
Oddworld: Abe's Exoddus®,1998-11-17,Adventure,15710
Oddworld: Abe's Oddysee®,1997-12-12,Adventure,15700
GTR Evolution Expansion Pack for RACE 07,2008-09-01,Racing,8660
X-COM: Enforcer,2001-04-19,Strategy,7770
X-COM: Apocalypse,1997-07-15,Strategy,7660
X-COM: UFO Defense,1993-12-31,Strategy,7760
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,Action,20510
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,RPG,20510
Crysis Warhead®,2008-09-17,Action,17330
Crysis,2007-11-13,Action,17300
X-COM: Interceptor,1998-06-15,Strategy,7730
The Witcher: Enhanced Edition Director's Cut,2008-09-16,Action,20900
The Witcher: Enhanced Edition Director's Cut,2008-09-16,RPG,20900
Multiwinia,2008-09-19,Indie,1530
STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,Racing,8690
Children of the Nile: Alexandria,2008-08-28,Strategy,17120
Children of the Nile: Alexandria,2008-08-28,Simulation,17120
Sid Meier's Civilization IV: Colonization,2008-09-23,Strategy,16810
Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,Action,19830
LEGO Batman,2008-09-29,Action,21000
LEGO Batman,2008-09-29,Adventure,21000
City Life 2008,2008-07-18,Simulation,4460
City Life 2008,2008-07-18,Strategy,4460
Hinterland,2008-09-30,RPG,17140
Hinterland,2008-09-30,Strategy,17140
Brothers in Arms: Hell's Highway™,2008-10-08,Action,15390
Gravitron 2,2008-08-31,Indie,21300
Gravitron 2,2008-08-31,Casual,21300
Xpand Rally Xtreme,2006-12-01,Racing,3050
Heroes of Might & Magic V: Hammers of Fate,2006-11-14,Strategy,15380
Brothers in Arms: Earned in Blood™,2005-10-04,Action,19800
Heroes of Might & Magic V: Tribes of the East,2007-10-16,Strategy,15370
The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,Strategy,19930
Brain Spa,2007-09-25,Casual,15350
The Sum of All Fears,2002-05-31,Action,19810
Peggle™ Nights,2008-10-15,Casual,3540
World of Goo,2008-10-13,Indie,22000
X3: Terran Conflict,2008-10-16,Action,2820
X3: Terran Conflict,2008-10-16,Simulation,2820
X3: Terran Conflict,2008-10-16,Strategy,2820
Mare Nostrum,2008-10-17,Action,1230
Spectraball,2008-10-20,Casual,18300
Spectraball,2008-10-20,Indie,18300
Galactic Bowling,2008-10-21,Indie,20200
Galactic Bowling,2008-10-21,Casual,20200
Galactic Bowling,2008-10-21,Sports,20200
Bully: Scholarship Edition,2008-10-21,Action,12200
Bully: Scholarship Edition,2008-10-21,Adventure,12200
Far Cry® 2: Fortune's Edition,2008-10-22,Action,19900
Space Trader: Merchant Marine,2008-10-23,Action,11240
Space Trader: Merchant Marine,2008-10-23,Indie,11240
Space Trader: Merchant Marine,2008-10-23,Strategy,11240
PRR Wagon Pack 01,2009-01-01,Simulation,256522
"Class 421 London South East ""Jaffa Cake""",2009-01-01,Simulation,275144
ATSF Wagon Pack 01,2009-01-01,Simulation,256521
GP20 Union Pacific Add-on Livery,2009-01-01,Simulation,222569
UK Van Wagon Pack,2009-01-01,Simulation,256535
CSX SD70MAC Add-on Livery,2009-01-01,Simulation,256611
CSX ES44AC Add-on Livery,2009-01-01,Simulation,256576
Saints Row 2,2009-01-28,Action,9480
Dead Space,2008-10-20,Action,17470
Rise of the Argonauts,2008-12-16,RPG,12770
Mirror's Edge™,2009-01-13,Action,17410
Mirror's Edge™,2009-01-13,Adventure,17410
Defense Grid: The Awakening,2008-12-08,Indie,18500
Defense Grid: The Awakening,2008-12-08,Strategy,18500
F.E.A.R. 2: Project Origin,2009-02-12,Action,16450
Harvest: Massive Encounter,2008-03-05,Strategy,15400
Harvest: Massive Encounter,2008-03-05,Indie,15400
Mayhem Intergalactic,2007-07-04,Indie,18600
Mayhem Intergalactic,2007-07-04,Strategy,18600
Larva Mortus,2009-03-19,Action,11340
Larva Mortus,2009-03-19,Indie,11340
Knights of Honor,2005-05-10,Strategy,25830
Ceville,2009-02-27,Action,23460
Ceville,2009-02-27,Adventure,23460
Ceville,2009-02-27,Strategy,23460
Empire: Total War™ - Special Forces Units & Bonus Content,2009-03-04,Strategy,10600
Watchmen: The End is Nigh,2009-03-04,Action,21010
Penumbra Overture,2007-03-30,Action,22180
Penumbra Overture,2007-03-30,Adventure,22180
Penumbra Overture,2007-03-30,Indie,22180
Unreal Tournament 3 Black,2007-11-19,Action,13210
Drakensang,2009-02-27,RPG,12640
Age of Booty™,2009-03-09,Casual,21600
Age of Booty™,2009-03-09,Strategy,21600
The Graveyard,2008-03-21,Indie,27020
The Graveyard,2008-03-21,Simulation,27020
Burnout Paradise: The Ultimate Box,2009-02-03,Racing,24740
The Maw,2009-03-09,Action,26000
The Maw,2009-03-09,Indie,26000
The Maw: River Redirect,2009-03-16,Action,26006
The Maw: River Redirect,2009-03-16,Indie,26006
The Maw: Brute Force,2009-03-16,Action,26005
The Maw: Brute Force,2009-03-16,Indie,26005
Obulis,2009-03-19,Casual,11330
Obulis,2009-03-19,Indie,11330
Space Giraffe,2009-03-19,Indie,27800
Codename: Panzers - Cold War,2009-03-10,Simulation,9850
Codename: Panzers - Cold War,2009-03-10,Strategy,9850
Escape Rosecliff Island,2009-04-15,Casual,3600
Guild Wars Nightfall,2006-10-27,RPG,29580
Guild Wars Nightfall,2006-10-27,Massively Multiplayer,29580
Guild Wars,2005-04-28,RPG,29540
Guild Wars,2005-04-28,Massively Multiplayer,29540
Guild Wars Factions,2006-04-28,RPG,29560
Guild Wars Factions,2006-04-28,Massively Multiplayer,29560
Guild Wars Trilogy,2008-09-25,Massively Multiplayer,29570
Guild Wars Trilogy,2008-09-25,RPG,29570
Puzzle Kingdoms,2009-04-16,Casual,23700
Samantha Swift and the Golden Touch,2009-04-29,Casual,16060
Two Worlds Epic Edition,2009-04-30,RPG,1930
Helldorado,2009-04-30,Strategy,18470
X-Blades,2009-02-10,Action,7510
X-Blades,2009-02-10,Adventure,7510
X-Blades,2009-02-10,RPG,7510
Zeno Clash,2009-04-21,Action,22200
Zeno Clash,2009-04-21,Indie,22200
The Maw: Speeder Lane,2009-04-29,Indie,26007
King's Bounty: The Legend,2008-09-23,RPG,25900
King's Bounty: The Legend,2008-09-23,Strategy,25900
Virtual Families,2009-05-06,Casual,16200
Virtual Families,2009-05-06,Simulation,16200
Death Track®: Resurrection,2009-05-06,Racing,7840
Freedom Force vs. the Third Reich,2005-03-08,RPG,8890
Freedom Force vs. the Third Reich,2005-03-08,Strategy,8890
Freedom Force,2002-03-26,RPG,8880
Freedom Force,2002-03-26,Strategy,8880
Light of Altair,2009-06-04,Indie,34500
Light of Altair,2009-06-04,Simulation,34500
Light of Altair,2009-06-04,Strategy,34500
Darkest Hour: Europe '44-'45,2009-06-09,Action,1280
