price,release_date,app_name,developer
4.99,2018-01-04,Lost Summoner Kitty,Kotoshiro
4.99,2018-01-04,Lost Summoner Kitty,Kotoshiro
4.99,2018-01-04,Lost Summoner Kitty,Kotoshiro
4.99,2018-01-04,Lost Summoner Kitty,Kotoshiro
4.99,2018-01-04,Lost Summoner Kitty,Kotoshiro
0.0,2018-01-04,Ironbound,Secret Level SRL
0.0,2018-01-04,Ironbound,Secret Level SRL
0.0,2018-01-04,Ironbound,Secret Level SRL
0.0,2018-01-04,Ironbound,Secret Level SRL
0.0,2017-07-24,Real Pool 3D - Poolians,Poolians.com
0.0,2017-07-24,Real Pool 3D - Poolians,Poolians.com
0.0,2017-07-24,Real Pool 3D - Poolians,Poolians.com
0.0,2017-07-24,Real Pool 3D - Poolians,Poolians.com
0.0,2017-07-24,Real Pool 3D - Poolians,Poolians.com
0.99,2017-12-07,弹炸人2222,彼岸领域
0.99,2017-12-07,弹炸人2222,彼岸领域
0.99,2017-12-07,弹炸人2222,彼岸领域
3.99,2018-01-04,Battle Royale Trainer,Trickjump Games Ltd
3.99,2018-01-04,Battle Royale Trainer,Trickjump Games Ltd
3.99,2018-01-04,Battle Royale Trainer,Trickjump Games Ltd
18.99,2018-01-04,SNOW - All Access Pro Pass,Poppermost Productions
18.99,2018-01-04,SNOW - All Access Pro Pass,Poppermost Productions
18.99,2018-01-04,SNOW - All Access Pro Pass,Poppermost Productions
18.99,2018-01-04,SNOW - All Access Pro Pass,Poppermost Productions
29.99,2018-01-04,SNOW - All Access Legend Pass,Poppermost Productions
29.99,2018-01-04,SNOW - All Access Legend Pass,Poppermost Productions
29.99,2018-01-04,SNOW - All Access Legend Pass,Poppermost Productions
29.99,2018-01-04,SNOW - All Access Legend Pass,Poppermost Productions
0.0,2018-01-04,Race,RewindApp
0.0,2018-01-04,Race,RewindApp
0.0,2018-01-04,Race,RewindApp
0.0,2018-01-04,Race,RewindApp
10.99,2018-01-04,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Stegalosaurus Game Development
10.99,2018-01-04,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Stegalosaurus Game Development
10.99,2018-01-04,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Stegalosaurus Game Development
10.99,2018-01-04,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Stegalosaurus Game Development
10.99,2018-01-04,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Stegalosaurus Game Development
3.99,2018-01-04,Beach Rules,Copperpick Studio
3.99,2018-01-04,Beach Rules,Copperpick Studio
2.99,2018-01-03,Planetarium 2 - Zen Odyssey,Ghulam Jewel
2.99,2018-01-03,Planetarium 2 - Zen Odyssey,Ghulam Jewel
2.99,2018-01-03,Planetarium 2 - Zen Odyssey,Ghulam Jewel
1.59,2018-01-03,The first thrust of God,Apillo
1.59,2018-01-03,The first thrust of God,Apillo
1.59,2018-01-03,The first thrust of God,Apillo
1.59,2018-01-03,The first thrust of God,Apillo
1.59,2018-01-03,The first thrust of God,Apillo
14.99,2018-01-03,SNOW - Starter Pack,Poppermost Productions
14.99,2018-01-03,SNOW - Starter Pack,Poppermost Productions
14.99,2018-01-03,SNOW - Starter Pack,Poppermost Productions
14.99,2018-01-03,SNOW - Starter Pack,Poppermost Productions
1.99,2018-01-03,The first thrust of God - All Aircrafts,Apillo
1.99,2018-01-03,The first thrust of God - All Aircrafts,Apillo
1.99,2018-01-03,The first thrust of God - All Aircrafts,Apillo
1.99,2018-01-03,The first thrust of God - All Aircrafts,Apillo
1.99,2018-01-03,The first thrust of God - All Aircrafts,Apillo
59.99,2018-01-03,SNOW - Lifetime Pack,Poppermost Productions
59.99,2018-01-03,SNOW - Lifetime Pack,Poppermost Productions
59.99,2018-01-03,SNOW - Lifetime Pack,Poppermost Productions
59.99,2018-01-03,SNOW - Lifetime Pack,Poppermost Productions
0.99,2018-01-03,The Warrior Of Treasures,Tero Lunkka
0.99,2018-01-03,The Warrior Of Treasures,Tero Lunkka
0.99,2018-01-03,The Warrior Of Treasures,Tero Lunkka
2.99,2017-12-22,RC Plane 3 - Canyon Scenario,FrozenPepper
2.99,2017-12-22,RC Plane 3 - Canyon Scenario,FrozenPepper
2.99,2017-12-22,RC Plane 3 - Canyon Scenario,FrozenPepper
2.99,2017-12-23,RC Plane 3 - F-53B,FrozenPepper
2.99,2017-12-23,RC Plane 3 - F-53B,FrozenPepper
2.99,2017-12-23,RC Plane 3 - F-53B,FrozenPepper
4.99,2018-01-03,DinoBlaster,Casey Labrack
4.99,2018-01-03,DinoBlaster,Casey Labrack
9.99,1997-06-30,Carmageddon Max Pack,Stainless Games Ltd
9.99,1997-06-30,Carmageddon Max Pack,Stainless Games Ltd
9.99,1997-06-30,Carmageddon Max Pack,Stainless Games Ltd
9.99,1998-11-08,Half-Life,Valve
1.99,2016-11-25,Fallen Mage,dev4play
1.99,2016-11-25,Fallen Mage,dev4play
1.99,2016-11-25,Fallen Mage,dev4play
0.0,2018-01-01,Lost Cities,BlueLine Games
0.0,2018-01-01,Lost Cities,BlueLine Games
0.0,2018-01-01,Lost Cities,BlueLine Games
0.0,2018-01-01,Twisted Enhanced Edition,Games by Brundle
0.99,2018-01-01,Vaporwave Simulator,ETGgames
0.99,2018-01-01,Vaporwave Simulator,ETGgames
0.99,2018-01-01,Vaporwave Simulator,ETGgames
