sentiment_analysis,items_count,price,genres
2,277,19.99,Action
2,121,19.99,Action
0,152,19.99,Action
2,200,19.99,Action
2,95,19.99,Action
2,64,19.99,Action
2,333,19.99,Action
0,66,19.99,Action
2,136,19.99,Action
2,255,19.99,Action
2,193,19.99,Action
2,0,19.99,Action
2,155,19.99,Action
2,157,19.99,Action
2,0,19.99,Action
2,158,19.99,Action
2,198,19.99,Action
2,67,19.99,Action
2,80,19.99,Action
2,74,19.99,Action
0,135,19.99,Action
2,219,19.99,Action
2,237,19.99,Action
2,0,19.99,Action
2,25,19.99,Action
0,136,19.99,Action
0,123,19.99,Action
2,36,19.99,Action
2,73,19.99,Action
2,286,19.99,Action
2,132,19.99,Action
2,128,19.99,Action
2,397,19.99,Action
2,479,19.99,Action
2,52,19.99,Action
2,128,19.99,Action
2,91,19.99,Action
2,141,19.99,Action
0,707,19.99,Action
2,198,19.99,Action
2,60,19.99,Action
2,78,19.99,Action
2,141,19.99,Action
2,59,19.99,Action
2,82,19.99,Action
2,0,19.99,Action
2,105,19.99,Action
2,124,19.99,Action
2,0,19.99,Action
0,100,19.99,Action
2,100,19.99,Action
2,230,19.99,Action
2,84,19.99,Action
2,897,19.99,Action
2,35,19.99,Action
2,640,19.99,Action
2,112,19.99,Action
2,132,19.99,Action
2,120,19.99,Action
2,239,19.99,Action
0,418,19.99,Action
2,219,19.99,Action
2,167,19.99,Action
2,342,19.99,Action
2,70,19.99,Action
2,0,19.99,Action
2,137,19.99,Action
2,0,19.99,Action
0,94,19.99,Action
2,67,19.99,Action
2,136,19.99,Action
2,67,19.99,Action
2,52,19.99,Action
2,80,19.99,Action
2,0,19.99,Action
2,240,19.99,Action
2,43,19.99,Action
2,60,19.99,Action
2,0,19.99,Action
2,155,19.99,Action
2,0,19.99,Action
2,30,19.99,Action
0,0,19.99,Action
2,321,19.99,Action
2,116,19.99,Action
2,0,19.99,Action
2,118,19.99,Action
2,225,19.99,Action
2,29,19.99,Action
2,43,19.99,Action
0,97,19.99,Action
2,0,19.99,Action
2,203,19.99,Action
2,134,19.99,Action
2,170,19.99,Action
0,233,19.99,Action
0,46,19.99,Action
2,227,19.99,Action
2,27,19.99,Action
2,194,19.99,Action
2,58,19.99,Action
2,92,19.99,Action
2,332,19.99,Action
2,71,19.99,Action
2,30,19.99,Action
0,44,19.99,Action
2,92,19.99,Action
0,52,19.99,Action
0,49,19.99,Action
2,119,19.99,Action
2,107,19.99,Action
0,0,19.99,Action
0,44,19.99,Action
2,186,19.99,Action
0,242,19.99,Action
2,95,19.99,Action
2,53,19.99,Action
0,322,19.99,Action
2,0,19.99,Action
2,127,19.99,Action
2,429,19.99,Action
2,38,19.99,Action
2,78,19.99,Action
2,230,19.99,Action
2,139,19.99,Action
0,149,19.99,Action
2,41,19.99,Action
2,35,19.99,Action
0,0,19.99,Action
2,233,19.99,Action
2,381,19.99,Action
2,123,19.99,Action
2,344,19.99,Action
2,125,19.99,Action
2,147,19.99,Action
2,210,19.99,Action
2,371,19.99,Action
0,99,19.99,Action
2,0,19.99,Action
2,127,19.99,Action
2,476,19.99,Action
2,63,19.99,Action
2,515,19.99,Action
2,0,19.99,Action
2,183,19.99,Action
2,0,19.99,Action
2,0,19.99,Action
2,360,19.99,Action
0,143,19.99,Action
2,72,19.99,Action
2,83,19.99,Action
2,133,19.99,Action
2,223,19.99,Action
2,0,19.99,Action
0,114,19.99,Action
2,122,19.99,Action
2,380,19.99,Action
0,116,19.99,Action
2,58,19.99,Action
2,166,19.99,Action
2,67,19.99,Action
2,151,19.99,Action
2,70,19.99,Action
2,266,19.99,Action
2,39,19.99,Action
2,118,19.99,Action
2,285,19.99,Action
2,173,19.99,Action
2,42,19.99,Action
0,0,19.99,Action
0,114,19.99,Action
2,121,19.99,Action
2,36,19.99,Action
2,25,19.99,Action
2,124,19.99,Action
2,393,19.99,Action
0,186,19.99,Action
2,0,19.99,Action
2,0,19.99,Action
2,85,19.99,Action
0,213,19.99,Action
2,197,19.99,Action
2,227,19.99,Action
2,81,19.99,Action
2,0,19.99,Action
2,0,19.99,Action
2,66,19.99,Action
2,117,19.99,Action
2,61,19.99,Action
2,147,19.99,Action
2,226,19.99,Action
2,65,19.99,Action
0,57,19.99,Action
2,49,19.99,Action
2,276,19.99,Action
2,49,19.99,Action
2,244,19.99,Action
2,106,19.99,Action
2,83,19.99,Action
2,116,19.99,Action
2,247,19.99,Action
2,277,19.99,Action
2,134,19.99,Action
0,157,19.99,Action
2,173,19.99,Action
2,108,19.99,Action
2,327,19.99,Action
2,151,19.99,Action
2,57,19.99,Action
2,152,19.99,Action
2,50,19.99,Action
0,83,19.99,Action
2,544,19.99,Action
2,62,19.99,Action
2,160,19.99,Action
0,143,19.99,Action
2,143,19.99,Action
2,232,19.99,Action
0,286,19.99,Action
0,165,19.99,Action
0,0,19.99,Action
2,0,19.99,Action
0,274,19.99,Action
2,150,19.99,Action
0,139,19.99,Action
2,327,19.99,Action
2,661,19.99,Action
2,32,19.99,Action
2,0,19.99,Action
2,176,19.99,Action
0,60,19.99,Action
0,0,19.99,Action
2,0,19.99,Action
2,105,19.99,Action
0,103,19.99,Action
0,23,19.99,Action
2,182,19.99,Action
2,38,19.99,Action
2,129,19.99,Action
2,10,19.99,Action
0,176,19.99,Action
0,31,19.99,Action
2,26,19.99,Action
0,170,19.99,Action
2,19,19.99,Action
0,0,19.99,Action
2,29,19.99,Action
2,102,19.99,Action
2,37,19.99,Action
2,41,19.99,Action
2,181,19.99,Action
2,205,19.99,Action
0,58,19.99,Action
2,24,19.99,Action
0,24,19.99,Action
0,215,19.99,Action
2,78,19.99,Action
2,0,19.99,Action
2,61,19.99,Action
2,85,19.99,Action
0,133,19.99,Action
0,0,19.99,Action
0,86,19.99,Action
2,81,19.99,Action
2,23,19.99,Action
0,107,19.99,Action
2,33,19.99,Action
0,88,19.99,Action
2,0,19.99,Action
2,0,19.99,Action
2,77,19.99,Action
2,25,19.99,Action
2,52,19.99,Action
2,11,19.99,Action
2,80,19.99,Action
2,59,19.99,Action
2,59,19.99,Action
2,149,19.99,Action
2,68,19.99,Action
2,35,19.99,Action
2,58,19.99,Action
2,60,19.99,Action
0,26,19.99,Action
2,136,19.99,Action
2,72,19.99,Action
0,93,19.99,Action
2,80,19.99,Action
2,0,19.99,Action
2,106,19.99,Action
2,28,19.99,Action
2,0,19.99,Action
2,38,19.99,Action
0,39,19.99,Action
2,56,19.99,Action
2,21,19.99,Action
2,0,19.99,Action
2,139,19.99,Action
2,22,19.99,Action
0,53,19.99,Action
2,44,19.99,Action
2,18,19.99,Action
2,41,19.99,Action
2,63,19.99,Action
2,11,19.99,Action
2,57,19.99,Action
2,14,19.99,Action
2,61,19.99,Action
2,95,19.99,Action
0,51,19.99,Action
2,41,19.99,Action
2,16,19.99,Action
2,34,19.99,Action
2,32,19.99,Action
2,43,19.99,Action
2,0,19.99,Action
2,27,19.99,Action
2,24,19.99,Action
2,62,19.99,Action
2,47,19.99,Action
2,112,19.99,Action
2,25,19.99,Action
2,177,19.99,Action
2,19,19.99,Action
2,48,19.99,Action
2,33,19.99,Action
2,65,19.99,Action
2,31,19.99,Action
2,71,19.99,Action
2,0,9.99,Action
2,942,9.99,Action
2,61,9.99,Action
0,180,9.99,Action
2,331,9.99,Action
2,888,19.99,Indie
2,14,19.99,Indie
2,207,19.99,Indie
2,99,19.99,Indie
2,83,19.99,Indie
2,0,19.99,Indie
0,70,19.99,Indie
0,190,19.99,Indie
2,154,19.99,Indie
2,105,19.99,Indie
2,155,19.99,Indie
2,181,19.99,Indie
2,126,19.99,Indie
0,211,19.99,Indie
2,557,19.99,Indie
2,38,19.99,Indie
2,120,19.99,Indie
2,16,19.99,Indie
2,71,19.99,Indie
0,52,19.99,Indie
2,62,19.99,Indie
2,231,19.99,Indie
2,70,19.99,Indie
2,119,19.99,Indie
