sentiment_analysis,developer
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
0,Tripwire Interactive
2,Tripwire Interactive
